Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3
171326,LOGAN COUNTY HOSPITAL,211 CHERRY AVENUE,OAKLEY,KS,67748,LOGAN,7856723211,Critical Access Hospitals,Government - Local,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"211 CHERRY AVENUE OAKLEY, KS (39.126915, -100.862279)",https://logancountyhospital.org/directions/,https://logancountyhospital.org/,https://logancountyhospital.org/logan-county-manor/
180132,LAKE CUMBERLAND REGIONAL HOSPITAL,305 LANGDON STREET,SOMERSET,KY,42503,PULASKI,6066797441,Acute Care Hospitals,Proprietary,True,True,2,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,"305 LANGDON STREET SOMERSET, KY (37.086576, -84.617956)",https://www.lakecumberlandhospital.com/,https://www.lakecumberlandhospital.com/about-us/telephone-directory,https://www.lakecumberlandhospital.com/contact-us
111308,CLINCH MEMORIAL HOSPITAL,1050 VALDOSTA HIGHWAY,HOMERVILLE,GA,31634,CLINCH,9124875211,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"1050 VALDOSTA HIGHWAY HOMERVILLE, GA (31.032651, -82.763858)",https://clinchmh.org/,https://clinchmh.org/contact-us/,https://clinchmh.org/job-listings/
171337,WAMEGO HEALTH CENTER,711 GENN DRIVE,WAMEGO,KS,66547,POTTAWATOMIE,7854562295,Critical Access Hospitals,Voluntary non-profit - Other,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,"711 GENN DRIVE WAMEGO, KS (39.205511, -96.318193)",http://wamegohealthcenter.org/,https://wamegohealthcenter.org/services/family-clinic/,http://wamegohealthcenter.org/about-us/our-doctors/
180127,FRANKFORT REGIONAL MEDICAL CENTER,299 KINGS DAUGHTERS DRIVE,FRANKFORT,KY,40601,FRANKLIN,5028755240,Acute Care Hospitals,Proprietary,True,True,4,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,"299 KINGS DAUGHTERS DRIVE FRANKFORT, KY (38.159774, -84.905753)",https://frankfortregional.com/,https://frankfortregional.com/medical-professionals/careers/,https://frankfortregional.com/about/department-directory/
210004,HOLY CROSS HOSPITAL,1500 FOREST GLEN ROAD,SILVER SPRING,MD,20910,MONTGOMERY,3017547000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"1500 FOREST GLEN ROAD SILVER SPRING, MD (39.016055, -77.034198)",http://www.holycrosshealth.org/hch,http://www.holycrosshealth.org/,http://www.holycrosshealth.org/contact-us
191308,PREVOST MEMORIAL HOSPITAL,301 MEMORIAL DR,DONALDSONVILLE,LA,70346,ASCENSION,2254737931,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"301 MEMORIAL DR DONALDSONVILLE, LA (30.087951, -91.002904)",http://www.prevosthospital.net/,http://www.prevosthospital.net/contact.html,https://www.yelp.com/biz/prevost-memorial-hospital-donaldsonville
141309,ADVOCATE EUREKA  HOSPITAL,101 S MAJOR ST,EUREKA,IL,61530,WOODFORD,3094672371,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"101 S MAJOR ST EUREKA, IL (40.721405, -89.271661)",https://www.advocatehealth.com/eureka/,https://locations.advocatehealth.com/advocate-medical-group-eureka-il,https://doctors.advocatehealth.com/il/eureka
130065,MOUNTAIN VIEW HOSPITAL,2325 CORONADO STREET,IDAHO FALLS,ID,83404,BONNEVILLE,2085572700,Acute Care Hospitals,Physician,False,True,5,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,"2325 CORONADO STREET IDAHO FALLS, ID (43.472524, -111.988717)",https://www.mountainviewhospital.org/,https://www.ahd.com/free_profile/130065/Mountain_View_Hospital/Idaho_Falls/Idaho/,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=30587326
111320,HIGGINS GENERAL HOSPITAL,200 ALLEN MEMORIAL DRIVE,BREMEN,GA,30110,HARALSON,7708122000,Critical Access Hospitals,Government - Hospital District or Authority,True,True,4,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"200 ALLEN MEMORIAL DRIVE BREMEN, GA (33.716343, -85.144623)",http://www.tanner.org/hospitals-and-facilities/hospitals/higgins-general-hospital-bremen,https://www.yelp.com/biz/higgins-general-hospital-bremen,https://health.usnews.com/best-hospitals/area/ga/higgins-general-hospital-6380338/contact
150113,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1515 N MADISON AVE,ANDERSON,IN,46011,MADISON,7652984242,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1515 N MADISON AVE ANDERSON, IN (40.130781, -85.691569)",https://www.ecommunity.com/locations/community-hospital-anderson,https://www.ecommunity.com/locations/er-anderson,https://www.facebook.com/CommunityAnderson/
200052,NORTHERN MAINE MEDICAL CENTER,194 E MAIN STREET,FORT KENT,ME,4743,AROOSTOOK,2078343195,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"194 E MAIN STREET FORT KENT, ME (47.265068, -68.591177)",https://www.nmmc.org/,http://www.comparemaine.org/?page=profile&provider=246&search-insurance=XXXXX&procedure=86800,http://www.comparemaine.org/?page=profile&provider=246&search-insurance=XXXXX&procedure=90847
220058,CLINTON HOSPITAL ASSOCIATION,201 HIGHLAND STREET,CLINTON,MA,1510,WORCESTER,9783683000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"201 HIGHLAND STREET CLINTON, MA (42.427062, -71.693349)",https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital,https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/clinton-campus,https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/contact
220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,NEEDHAM,MA,2494,NORFOLK,7814533002,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,"148 CHESTNUT STREET NEEDHAM, MA (42.277574, -71.237358)",https://www.bidneedham.org/,https://www.bidneedham.org/departments/nutrition-services/nutrition-contact-us,https://www.ahd.com/free_profile/220083/Beth_Israel_Deaconess_Hospital_-_Needham/Needham/Massachusetts/
